2	2	3	1	4	5	4	3	4	3	3	1	5	4	4	4	2	3	3	1	4	4	3	2	1	3	2	4	2	4	2	2	100
2	3	2	2	4	4	4	3	4	3	4	3	3	4	5	4	2	2	3	2	3	3	4	2	2	5	1	2	4	4	3	1	90
3	4	3	3	4	4	3	1	2	4	3	2	4	4	3	3	2	4	2	1	4	2	4	3	2	4	3	3	2	5	4	2	75
3	3	3	4	3	5	4	3	-1	4	2	4	4	5	4	3	3	3	3	3	4	3	2	4	2	4	2	2	4	5	3	3	85
1	4	2	2	3	5	4	1	4	4	2	2	5	4	4	4	2	3	2	1	5	3	3	1	1	5	2	3	2	5	4	2	80
3	3	3	2	3	3	4	2	2	1	3	3	4	4	4	3	2	1	4	2	4	4	4	2	2	3	2	4	3	4	3	3	60
4	1	2	4	2	3	3	3	4	4	4	1	2	1	2	4	4	1	3	1	3	2	2	3	4	3	2	2	3	3	4	4	60
2	4	4	1	5	5	4	3	2	4	3	3	5	4	3	3	3	4	5	3	4	3	3	1	1	4	2	4	1	5	2	2	88
2	2	1	1	3	4	3	1	3	3	2	2	5	3	3	4	2	2	4	1	4	4	4	2	1	3	4	4	1	5	2	1	95
4	2	4	1	3	5	4	2	3	1	5	3	1	3	1	5	5	1	3	1	2	1	5	2	4	5	5	2	1	5	3	2	85
1	5	1	3	4	5	4	3	2	5	5	3	5	5	5	2	2	5	4	1	5	1	4	4	1	5	2	2	2	5	2	3	86
1	3	5	5	5	5	1	4	1	3	5	4	5	3	3	2	1	3	5	1	5	1	1	3	1	5	3	1	1	5	1	3	90
2	3	2	4	2	5	3	3	3	1	4	5	5	4	4	2	3	2	2	2	4	4	2	1	-1	2	1	3	1	5	3	1	80
4	2	2	2	2	2	3	1	5	1	5	1	4	2	3	5	4	2	1	1	2	2	4	3	2	2	2	2	4	4	2	1	90
1	2	3	3	5	5	3	2	3	1	1	3	4	4	5	4	1	1	3	1	5	3	5	2	1	4	1	1	1	5	4	4	80
2	4	4	4	4	5	5	3	2	3	1	4	4	3	3	2	2	4	3	2	4	2	3	2	2	4	1	4	2	4	4	4	75
1	3	4	2	5	5	3	1	1	2	2	3	5	3	3	3	1	2	3	1	5	3	4	1	1	3	1	3	1	4	4	2	100
3	4	3	2	5	5	4	1	2	5	3	4	3	5	4	5	2	5	3	1	5	2	3	2	2	5	3	1	3	5	4	3	80
1	4	2	3	4	5	2	3	3	4	4	4	5	3	1	2	3	3	5	2	4	3	3	2	1	4	2	3	2	5	1	2	85
3	5	2	2	3	4	3	2	2	3	2	3	3	4	3	3	1	3	2	2	5	2	3	2	2	4	2	2	3	5	3	3	80
4	3	3	2	2	4	3	1	3	2	1	2	5	3	5	1	4	3	1	1	5	2	3	3	1	2	1	1	1	5	1	1	80
1	3	1	3	4	4	4	2	3	2	2	2	4	4	5	3	3	2	2	2	5	4	5	1	1	3	1	3	2	3	5	2	90
4	3	1	2	2	5	4	2	2	2	2	2	4	3	5	4	4	3	2	2	4	3	4	2	2	3	1	2	4	5	4	2	100
3	4	1	5	4	4	3	4	2	4	2	4	4	3	5	4	2	3	2	3	4	3	3	3	2	4	1	4	3	5	4	3	80
1	4	3	4	4	5	4	2	3	1	4	4	5	5	2	4	1	1	3	2	5	2	2	1	1	5	4	3	2	5	2	1	99
1	2	3	4	4	5	-1	3	3	3	2	4	5	4	4	3	1	3	2	2	5	3	4	4	1	4	1	4	2	3	4	3	95
4	2	1	1	1	4	2	1	5	1	4	1	1	1	3	5	5	1	2	1	1	5	5	2	5	2	1	1	3	3	3	1	87
3	3	2	3	2	3	4	1	3	2	1	2	4	4	4	3	3	3	1	1	4	3	3	2	2	3	1	1	2	4	2	3	73
4	4	3	3	4	2	2	4	2	3	4	4	2	4	4	2	3	4	4	4	3	2	4	4	3	2	4	4	2	2	3	4	75
3	4	1	3	2	4	5	1	3	4	1	2	3	4	5	3	3	4	1	1	4	2	3	4	2	4	1	2	5	4	5	2	70
3	1	2	2	4	4	4	1	4	1	2	2	4	2	4	4	2	1	4	1	4	4	3	2	2	2	2	2	3	3	5	2	80
2	3	4	5	3	4	4	5	4	3	2	4	5	4	2	1	2	3	4	5	5	2	4	5	1	4	1	3	4	5	4	5	83
3	3	2	3	1	2	3	2	4	2	3	3	4	2	4	3	3	2	2	2	3	4	2	3	2	2	1	2	5	3	1	3	77
1	5	4	4	4	5	3	4	2	5	5	5	5	5	2	1	1	5	5	4	5	2	1	5	1	5	5	5	2	5	1	4	98
3	4	3	2	4	4	4	3	2	1	3	3	5	3	2	4	2	2	2	1	4	2	2	2	1	3	2	4	2	4	4	2	90
3	2	3	4	4	4	3	2	2	1	2	3	3	2	4	4	2	1	4	1	5	3	1	2	2	1	1	1	2	4	4	3	85
1	5	4	2	4	4	3	3	2	4	2	4	5	5	1	1	1	4	4	4	4	2	2	3	1	5	4	2	1	5	3	4	90
1	5	4	4	3	5	3	2	3	4	5	2	5	5	4	4	1	5	5	1	5	1	2	3	1	4	1	5	4	5	1	3	90
3	1	2	2	2	4	2	1	3	1	2	3	2	2	4	3	2	1	5	2	3	5	3	3	3	3	1	3	4	5	3	2	90
1	4	4	2	4	5	4	2	4	2	2	1	5	5	2	5	2	3	4	1	5	2	2	1	1	4	4	4	1	5	2	3	85
1	3	4	3	5	5	4	1	1	3	2	4	5	5	2	4	1	3	4	1	5	4	3	1	1	3	2	4	1	3	4	2	100
2	5	3	2	3	3	5	1	4	2	1	1	5	4	4	4	2	4	2	1	5	2	4	2	1	3	1	1	3	5	4	3	100
3	3	4	4	4	5	4	2	2	2	3	3	5	4	3	4	2	2	4	2	5	4	3	2	1	4	2	2	3	5	4	3	80
2	3	3	3	3	5	4	3	4	3	2	3	5	4	5	3	3	2	4	3	4	3	3	2	2	5	1	5	3	5	1	3	70
3	1	4	3	3	4	2	2	1	3	2	1	5	2	3	4	3	1	4	1	4	4	2	2	1	3	1	4	3	4	2	2	50
3	-1	4	2	3	3	3	4	5	1	2	4	4	3	-1	4	4	1	3	5	4	5	4	1	2	1	4	2	4	5	3	1	80
